Course,Strict all of,Strict one of,Recommended all of,Recommended one of,Eliminate from future,Don't take these before,Instructor Permission,Doesn't count for concentration credit,Notes
CS 20,,,,,,CS 121;CS 124;AM 106;AM 107,,,
CS 50,,,,,,,,,
CS 51,,,,CS 50;prior,,,,,
CS 61,,,,CS 50;prior,,,,,
CS 121,,,CS 20,,CS 20,,,,May not receive credit for both 121 and 125
CS 124,,CS 50;prior,CS 51,,CS 20,CS 50,,,May not receive credit for both 124 and 125
CS 182,,,CS 51;Stat 110,,,CS 50,,,
Math 21a,,,,,Math 1a;Math 1b;AM 21a;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
Math 21b,,,,,Math 1a;Math 1b;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
Stat 110,,,,,,,,,
CS 181,,,CS 51;Stat 110;Math 21a;Math 21b,,,CS 50,,,
CS 161,,,CS 61,,,CS 50,,,
AM 106,,,Math 21a;Math 21b,,CS 20;Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
CS 134,,,Math 21a;Math 21b;Stat 110,,,CS 50,,,May not receive credit for both CS 134 and Ec 1034
AM 120,,,Math 21a;Math 21b,CS 50;prior,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
AM 121,,,Math 21b,Stat 110,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
ES 153,,,,,,,,,
ES 50,,,,,,,,,
ES 52,,,,,ES 50,,,,
AM 106,,,Math 21a;Math 21b,,CS 20;Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
AM 107,,,,,CS 20;Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
Math 154,,,Math 21a;Math 21b,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b,,,,
