Course,Strict all of,Strict one of,Recommended all of,Recommended one of,Eliminate from future
CS 20,,,,,
CS 50,,,,,
CS 51,,,,CS 50;prior_cs,
CS 61,,,,CS 50;prior_cs,
CS 96,,,CS 51;CS 61,,CS 50
CS 105,,,,,
CS 108,,CS 50;prior_cs,,,
CS 109A,,,,,
CS 109B,,CS 109a,,,
CS 121,,,,,CS 20
CS 124,,CS 50;prior_cs,CS 51,,CS 20;CS 50
CS 126,,,Stat 110;CS 124,,CS 50
CS 127,,,,CS 121;CS 124,
CS 134,,,Math 21a;Math 21b;Stat 110,,CS 50
CS 136,,,Math 21a;Math 21b;Stat 110,CS 181;CS 182,CS 50
CS 141,,,,CS 50;prior_cs,CS 50;CS 143;CS 144R
CS 143,,,,CS 50;prior_cs,CS 50;CS 144R
CS 144R,,,,CS 50;prior_cs,CS 50
CS 148,,,CS 141,,CS 50
CS 152,,,CS 51;CS 121,,CS 50
CS 161,,,CS 61,,CS 50
CS 165,,,CS 51;CS 61,,CS 50
CS 171,,,,CS 50;prior_cs,CS 50;CS 175
CS 175,,,Math 21b,CS 51;CS 61,CS 50
CS 179,,,,CS 50;prior_cs,CS 50
CS 181,,,CS 51;Stat 110;Math 21a;Math 21b,,CS 50
CS 182,,,CS 51;Stat 110,,CS 50
CS 189,,,CS 181;CS 182,,
CS 191,,,,CS 105;CS 108;CS 109A;CS 109B;CS 124;CS 126;CS 127;CS 134;CS 136;CS 141;CS 143;CS 144R;CS 148;CS 152;CS 161;CS 165;CS 171;CS 175;CS 179;CS 181;CS 182;CS 189,
Math 1a,,,,,Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
Math 1b,Math 1a,,,,Math 1a;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
Math 21a,Math 1a;Math 1b,prior_math,,,Math 1a;Math 1b;AM 21a;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
Math 21b,Math 1a;Math 1b,prior_math,,,Math 1a;Math 1b;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
Math 23a,,adv_math,,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;;Math 25a;Math 25b;Math 55a;Math 55b
Math 23b,Math 23a,,,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 25a;Math 25b;Math 55a;Math 55b
Math 25a,,adv_math,,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 55a;Math 55b
Math 25b,Math 25a,,,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 55a;Math 55b
Math 55a,,adv_math,,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;
Math 55b,Math 55a,,,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;
Stat 110,,,,,
AM 21a,Math 1a;Math 1b,prior_math,,,Math 21a;Math23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b;Math 1a;Math 1b
AM 21b,Math 1a;Math 1b,prior_math,,,Math 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b;Math 1a;Math 1b
AM 120,,,Math 21a;Math 21b,CS 50;prior_cs,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
AM 121,,,Math 21b,Stat 110,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
ES 153,,,,,
ES 50,,,,,ES 52
ES 52,,,,,ES 50
AM 106,,,Math 21a;Math 21b,,CS 20;Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
AM 107,,,,,CS 20;Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b
Math 154,,,Math 21a;Math 21b,,Math 1a;Math 1b;Math 21a;Math 21b;AM 21a;AM 21b;Math 23a;Math 23b;Math 25a;Math 25b;Math 55a;Math 55b;AM 107
adv_math,,,,,Math 1a;Math 1b
